ix,iy,x_m,y_m,Lx1_m,Ly1_m,gap_m,Lx2_m,Ly2_m,x2_m,height_m,cost
2,44,-1.1475e-05,6.075e-06,2e-07,1.7e-07,1e-07,2.5e-07,2e-07,7.5e-08,6.3e-07,0.123268319809245
2,45,-1.1475e-05,6.525e-06,2.25e-07,1.8e-07,1e-07,2e-07,2e-07,6.25e-08,6.3e-07,0.347398655490512
2,46,-1.1475e-05,6.975e-06,3e-07,1.8e-07,1e-07,2.5e-07,2e-07,1.25e-07,6.3e-07,0.365802445937947
2,47,-1.1475e-05,7.425e-06,2e-07,1.8e-07,1e-07,2e-07,2e-07,5e-08,6.3e-07,0.114751990862866
2,48,-1.1475e-05,7.875e-06,3e-07,1.75e-07,1e-07,1.75e-07,2e-07,8.75e-08,6.3e-07,0.117380655571145
2,49,-1.1475e-05,8.325e-06,2.5e-07,1.75e-07,1e-07,2.25e-07,2e-07,8.75e-08,6.3e-07,0.475253420004508
2,50,-1.1475e-05,8.775e-06,2.75e-07,1.8e-07,1.1e-07,1.75e-07,2e-07,8.5e-08,6.3e-07,0.510885624789904
2,51,-1.1475e-05,9.225e-06,2.75e-07,1.75e-07,1e-07,2e-07,2e-07,8.75e-08,6.3e-07,0.691839713146601
2,52,-1.1475e-05,9.675e-06,2e-07,1.8e-07,1.2e-07,1.75e-07,2e-07,5.75e-08,6.3e-07,0.645641980790392
2,53,-1.1475e-05,1.0125e-05,3e-07,1.75e-07,1.1e-07,1.5e-07,2e-07,8.5e-08,6.3e-07,0.277947304560579
2,54,-1.1475e-05,1.0575e-05,2.5e-07,1.7e-07,1e-07,1.75e-07,2e-07,6.25e-08,6.3e-07,0.333163419648841
2,55,-1.1475e-05,1.1025e-05,2.5e-07,1.75e-07,1.1e-07,2.25e-07,2e-07,9.75e-08,6.3e-07,0.311357949474122
2,56,-1.1475e-05,1.1475e-05,2e-07,1.7e-07,1.1e-07,2e-07,2e-07,6e-08,6.3e-07,0.384062258770482
2,57,-1.1475e-05,1.1925e-05,2.25e-07,1.7e-07,1.2e-07,2e-07,2e-07,8.25e-08,6.3e-07,1.20967561202455
2,58,-1.1475e-05,1.2375e-05,2.25e-07,1.75e-07,1e-07,1.75e-07,2e-07,5e-08,6.3e-07,0.482651923951962
2,59,-1.1475e-05,1.2825e-05,3e-07,1.7e-07,1e-07,2.5e-07,2e-07,1.25e-07,6.3e-07,0.687695301010334
2,60,-1.1475e-05,1.3275e-05,2.25e-07,1.7e-07,1.2e-07,1.5e-07,2e-07,5.75e-08,6.3e-07,2.13106751005135
3,1,-1.0125e-05,-1.3275e-05,2e-07,1.8e-07,1.1e-07,2.25e-07,2e-07,7.25e-08,6.3e-07,0.834443946450597
3,2,-1.0125e-05,-1.2825e-05,2e-07,1.8e-07,1.1e-07,2.5e-07,2e-07,8.5e-08,6.3e-07,0.553196978468649
3,3,-1.0125e-05,-1.2375e-05,2.75e-07,1.75e-07,1e-07,2e-07,2e-07,8.75e-08,6.3e-07,0.496861500853174
3,4,-1.0125e-05,-1.1925e-05,2e-07,1.7e-07,1.1e-07,2e-07,2e-07,6e-08,6.3e-07,0.158891047913406
3,5,-1.0125e-05,-1.1475e-05,2e-07,1.75e-07,1.2e-07,2.5e-07,2e-07,9.5e-08,6.3e-07,0.566638883302724
3,6,-1.0125e-05,-1.1025e-05,3e-07,1.75e-07,1.1e-07,1.5e-07,2e-07,8.5e-08,6.3e-07,0.0242631251598144
3,7,-1.0125e-05,-1.0575e-05,2e-07,1.8e-07,1.2e-07,1.75e-07,2e-07,5.75e-08,6.3e-07,0.514914710955601
